states,year,quarter,brand,user_counts,percentage
Arunachal Pradesh,2018,3,Xiaomi,11250,0.244981
Arunachal Pradesh,2018,3,Samsung,9307,0.20267
Arunachal Pradesh,2018,3,Vivo,8226,0.17913
Arunachal Pradesh,2018,3,Oppo,5992,0.130482
Arunachal Pradesh,2018,3,Realme,2676,0.058273
Arunachal Pradesh,2018,3,Apple,1153,0.025108
Arunachal Pradesh,2018,3,Gionee,1024,0.022299
Arunachal Pradesh,2018,3,OnePlus,740,0.016114
Arunachal Pradesh,2018,3,Motorola,722,0.015722
Arunachal Pradesh,2018,3,Lenovo,629,0.013697
Arunachal Pradesh,2018,3,Others,4203,0.091525
Arunachal Pradesh,2018,4,Xiaomi,15097,0.244083
Arunachal Pradesh,2018,4,Samsung,12580,0.203389
Arunachal Pradesh,2018,4,Vivo,11624,0.187932
Arunachal Pradesh,2018,4,Oppo,8328,0.134644
Arunachal Pradesh,2018,4,Realme,3613,0.058414
Arunachal Pradesh,2018,4,Apple,1517,0.024526
Arunachal Pradesh,2018,4,Gionee,1188,0.019207
Arunachal Pradesh,2018,4,Motorola,944,0.015262
Arunachal Pradesh,2018,4,OnePlus,896,0.014486
Arunachal Pradesh,2018,4,Lenovo,831,0.013435
Arunachal Pradesh,2018,4,Others,5234,0.084621
Arunachal Pradesh,2019,1,Xiaomi,18809,0.244409
Arunachal Pradesh,2019,1,Samsung,15537,0.201892
Arunachal Pradesh,2019,1,Vivo,14892,0.193511
Arunachal Pradesh,2019,1,Oppo,10738,0.139532
Arunachal Pradesh,2019,1,Realme,4413,0.057344
Arunachal Pradesh,2019,1,Apple,1870,0.024299
Arunachal Pradesh,2019,1,Gionee,1310,0.017022
Arunachal Pradesh,2019,1,Motorola,1137,0.014774
Arunachal Pradesh,2019,1,OnePlus,1114,0.014476
Arunachal Pradesh,2019,1,Huawei,972,0.01263
Arunachal Pradesh,2019,1,Others,6165,0.08011
Arunachal Pradesh,2019,2,Xiaomi,23326,0.243271
Arunachal Pradesh,2019,2,Samsung,19719,0.205653
Arunachal Pradesh,2019,2,Vivo,18958,0.197716
Arunachal Pradesh,2019,2,Oppo,13678,0.14265
Arunachal Pradesh,2019,2,Realme,5425,0.056578
Arunachal Pradesh,2019,2,Apple,2169,0.022621
Arunachal Pradesh,2019,2,Gionee,1608,0.01677
Arunachal Pradesh,2019,2,Motorola,1404,0.014643
Arunachal Pradesh,2019,2,OnePlus,1251,0.013047
Arunachal Pradesh,2019,2,Huawei,1175,0.012254
Arunachal Pradesh,2019,2,Others,7172,0.074798
Arunachal Pradesh,2019,3,Xiaomi,27394,0.244264
Arunachal Pradesh,2019,3,Vivo,22731,0.202686
Arunachal Pradesh,2019,3,Samsung,22720,0.202588
Arunachal Pradesh,2019,3,Oppo,16262,0.145004
Arunachal Pradesh,2019,3,Realme,6477,0.057754
Arunachal Pradesh,2019,3,Apple,2509,0.022372
Arunachal Pradesh,2019,3,Gionee,1800,0.01605
Arunachal Pradesh,2019,3,Motorola,1561,0.013919
Arunachal Pradesh,2019,3,OnePlus,1390,0.012394
Arunachal Pradesh,2019,3,Huawei,1377,0.012278
Arunachal Pradesh,2019,3,Others,7928,0.070692
Arunachal Pradesh,2019,4,Xiaomi,31369,0.242567
Arunachal Pradesh,2019,4,Vivo,26787,0.207136
Arunachal Pradesh,2019,4,Samsung,26087,0.201723
Arunachal Pradesh,2019,4,Oppo,19208,0.14853
Arunachal Pradesh,2019,4,Realme,7743,0.059874
Arunachal Pradesh,2019,4,Apple,2811,0.021737
Arunachal Pradesh,2019,4,Gionee,1983,0.015334
Arunachal Pradesh,2019,4,Motorola,1637,0.012658
Arunachal Pradesh,2019,4,Huawei,1581,0.012225
Arunachal Pradesh,2019,4,OnePlus,1535,0.01187
Arunachal Pradesh,2019,4,Others,8580,0.066347
Arunachal Pradesh,2020,1,Xiaomi,35625,0.238988
Arunachal Pradesh,2020,1,Vivo,31742,0.212939
Arunachal Pradesh,2020,1,Samsung,29807,0.199958
Arunachal Pradesh,2020,1,Oppo,22566,0.151383
