states,year,quarter,district,trans_counts,amount
Assam,2022,1,Kamrup Metropolitan District,28908435,60093746992.89
Assam,2022,1,Hailakandi District,652625,1476770132.03
Assam,2022,1,Barpeta District,2846523,7413611760.55
Assam,2022,1,Goalpara District,1299073,3720380319.73
Assam,2022,1,Biswanath District,470228,990785769.71
Assam,2022,1,Jorhat District,978493,1768122527.24
Assam,2022,2,Tinsukia District,1393042,2864342184.62
Assam,2022,2,Lakhimpur District,949594,1949181060.63
Assam,2022,2,Kamrup District,2122755,4247651138.55
Assam,2022,2,Kokrajhar District,941658,2134593237.41
Assam,2022,2,Karbi Anglong District,663418,1596022243.66
Assam,2022,2,Sivasagar District,694978,1292419445.26
Assam,2022,2,Dibrugarh District,2372318,4426557091.53
Assam,2022,2,South Salmara Mancachar District,532090,1518417902.49
Assam,2022,2,Nagaon District,2624899,6401629329.65
Assam,2022,2,Dhubri District,1748061,4095843491.51
Assam,2022,2,Golaghat District,928135,1870905474.84
Assam,2022,2,Udalguri District,731430,1374405319.61
Assam,2022,2,Majuli District,105899,192613565.74
Assam,2022,2,Sonitpur District,2331103,4228702694.64
Assam,2022,2,Hojai District,832316,1885347223.24
Assam,2022,2,Marigaon District,1362294,3195268221.19
Assam,2022,2,Chirang District,483371,1142819737.07
Assam,2022,2,Cachar District,2208886,4390976386.36
Assam,2022,2,Nalbari District,711088,1547056523.55
Assam,2022,2,West Karbi Anglong District,98911,208934121.88
Assam,2022,2,Dhemaji District,698448,1532877539.61
Assam,2022,2,Karimganj District,1164306,2886007289.47
Assam,2022,2,Bongaigaon District,1380703,3242058585.81
Assam,2022,2,Dima Hasao District,228456,545715522.47
Assam,2022,2,Baksa District,905373,2132096440.24
Assam,2022,2,Charaideo District,382915,812357268.89
Assam,2022,2,Darrang District,1764727,3227701241.99
Assam,2022,2,Kamrup Metropolitan District,37896005,70515346667.22
Assam,2022,2,Hailakandi District,787208,1571435620.28
Assam,2022,2,Barpeta District,3782074,8597920826.99
Assam,2022,2,Goalpara District,1660385,4241626695.29
Assam,2022,2,Biswanath District,604714,1221547710.86
Assam,2022,2,Jorhat District,1243165,2020664284.24
Assam,2022,3,Tinsukia District,1596815,3042250714.06
Assam,2022,3,Lakhimpur District,1107100,2067093940.62
Assam,2022,3,Kamrup District,2430234,4614592326.48
Assam,2022,3,Kokrajhar District,1067899,2284375602.78
Assam,2022,3,Karbi Anglong District,859889,1828335931.77
Assam,2022,3,Sivasagar District,747403,1314001865.7
Assam,2022,3,Dibrugarh District,2307181,3933628296.03
Assam,2022,3,South Salmara Mancachar District,605276,1484669445.18
Assam,2022,3,Nagaon District,2968058,6558107158.01
Assam,2022,3,Dhubri District,2223747,4556385241.83
Assam,2022,3,Golaghat District,1053657,2034519777.29
Assam,2022,3,Udalguri District,863753,1579156771.5
Assam,2022,3,Majuli District,134355,225690807.14
Assam,2022,3,Sonitpur District,3096898,5410346627.41
Assam,2022,3,Hojai District,1043820,2113483858.33
Assam,2022,3,Marigaon District,1489205,3238457317.65
Assam,2022,3,Chirang District,715691,1537298774.95
Assam,2022,3,Cachar District,2665315,5192449137.35
Assam,2022,3,Nalbari District,794013,1648877908.72
Assam,2022,3,West Karbi Anglong District,109757,205472736.92
Assam,2022,3,Dhemaji District,772797,1515654182.86
Assam,2022,3,Karimganj District,1334451,3178134072.44
Assam,2022,3,Bongaigaon District,1668882,3479985149.63
Assam,2022,3,Dima Hasao District,288848,678521294.53
Assam,2022,3,Baksa District,994859,2149845145.96
Assam,2022,3,Charaideo District,653536,1267458929.21
Assam,2022,3,Darrang District,1805090,3233214492.57
Assam,2022,3,Kamrup Metropolitan District,39606017,69410860235.23
Assam,2022,3,Hailakandi District,1560929,2991549159.65
Assam,2022,3,Barpeta District,4561028,9149960686.49
Assam,2022,3,Goalpara District,2054687,4590076568.3
Assam,2022,3,Biswanath District,668091,1279949511.7
Assam,2022,3,Jorhat District,2264530,3694675386.61
Assam,2022,4,Tinsukia District,1847473,3636219479.5
Assam,2022,4,Lakhimpur District,1397791,2505469638.52
Assam,2022,4,Kamrup District,3473735,6488564510.01
Assam,2022,4,Kokrajhar District,1249751,2609828653.36
Assam,2022,4,Karbi Anglong District,1030879,2189719279.8
Assam,2022,4,Sivasagar District,883421,1544157685.46
Assam,2022,4,Dibrugarh District,2781759,4540236249.41
